,PC1,PC2,Quality
0,3.205996171099244,0.4165233248422592,5
1,3.0390508136577536,1.1074621264768167,5
2,3.0718934734670738,0.8789644358569194,5
3,1.5712621359591576,2.1125445517917933,6
4,3.205996171099244,0.4165233248422592,5
5,3.0121656615551284,0.389397499806155,5
6,2.1507041237225852,0.3236062151786556,5
7,2.7111821098178583,-0.6534108523356963,7
8,2.9452640736582656,0.3315111678733539,7
9,1.6603425907193858,1.1647692580168412,5
10,2.1336126587415674,0.4013787257276919,5
11,1.6603425907193858,1.1647692580168412,5
12,2.4786049093744666,-0.9522613868072721,5
13,4.799550923300966,2.69712208789611,5
14,1.996413223831176,3.3303679623217137,5
15,2.039813434037639,3.3512281310621606,5
16,0.9865489588084291,1.293479848819772,7
17,5.694432613194205,4.679290287069795,5
18,2.5961081780914634,0.8010636039957594,4
19,4.108133940074759,4.3828098669590325,6
20,0.985506911666931,1.0665498832513463,6
21,1.8351697997426162,0.8928114260666238,5
22,2.942402018442239,1.3759839664380193,5
23,2.0719288591940157,0.9295199113229293,5
24,2.058183793534304,0.2706299997324521,6
25,2.0082887822540747,-0.14825810105575934,5
26,2.4605159356069795,0.440265037274371,5
27,2.942402018442239,1.3759839664380193,5
28,3.0423574913697222,0.3045514636027096,5
29,3.320158565506898,0.23803236327002084,6
30,2.232812196901298,0.022272945110657125,5
31,3.0236593999832877,-0.012426707513152677,6
32,2.1452388626722745,1.066970217644922,5
33,0.8387162768874052,1.4455837074221758,6
34,1.458061051701329,-0.059314543799270966,5
35,3.11763922983682,0.943251477186159,6
36,3.383226784888361,0.22284997290996833,6
37,2.156735061149668,0.8273990152120335,7
38,4.650601073500696,0.20331252193859625,4
39,1.830103035337346,1.1049201445334926,5
40,1.830103035337346,1.1049201445334926,5
41,2.2750693428700925,1.4851900251554437,4
42,5.190712659136578,2.9593693956571534,6
43,4.120183882865627,1.2623025805192571,5
44,3.0061591648371913,-0.4091963269751306,5
45,2.5200745610480753,-3.0756356659526856,4
46,2.6422730586647707,2.1287548292613865,5
47,1.9112413375025248,1.5014291191966576,5
48,2.0820570442759303,-0.08286480484073493,5
49,0.7724476882081209,0.005347679270589279,5
50,3.1993150142872357,1.5245520170414562,5
